source_row_group,timestamp_cycle,path_score,local_best_cycle,local_best_score,second_best_cycle,second_best_score
536,397,0.0033739491469354068,397,0.0033739491469354068,396,0.0038416838064627167
537,396,0.003700874470326563,396,0.003700874470326563,397,0.00524221419181886
538,397,0.0005100411807784557,397,0.0005100411807784557,396,0.007365214701226716
539,397,0.0014560367738556857,397,0.0014560367738556857,396,0.013969994069422901
540,396,1.0,240,1.0,241,1.0
541,398,0.0008140863029776137,398,0.0008140863029776137,396,0.07978648696435026
542,398,0.005378859111536408,398,0.005378859111536408,397,0.08597717606567515
543,396,1.0,240,1.0,241,1.0
544,399,0.001473377662360907,399,0.001473377662360907,400,0.006493873516881671
545,398,0.006959285310452084,398,0.006959285310452084,399,0.03916973561943683
546,398,0.0016695528800782125,398,0.0016695528800782125,399,0.00869474105951247
547,398,0.0008833556797550097,398,0.0008833556797550097,399,0.012292312696987313
548,396,1.0,240,1.0,241,1.0
